Time,Tag,Flow
1618535915.8058126,,"54389672, -0.02, 0.00, 24.69, 25.00
"
1618535915.8158126,,"54392652, -0.02, -0.02, 24.69, 25.00
"
1618535915.8158126,,"54395668, -0.02, 0.00, 24.69, 25.00
"
1618535915.8158126,,"54398632, -0.02, -0.02, 24.69, 25.00
"
1618535915.8158126,,"54401636, -0.02, 0.00, 24.71, 25.00
"
1618535915.8258126,,"54404604, -0.02, -0.05, 24.71, 25.00
"
1618535915.8258126,,"54407620, -0.05, 0.02, 24.71, 25.00
"
1618535915.8258126,,"54410632, -0.02, -0.02, 24.70, 25.00
"
1618535915.8358116,,"54413644, -0.02, -0.05, 24.70, 24.98
"
1618535915.8358116,,"54416664, -0.02, -0.02, 24.70, 24.98
"
1618535915.8358116,,"54419684, -0.05, -0.02, 24.70, 24.98
"
1618535915.8463397,,"54422708, 0.00, 0.00, 24.70, 25.03
"
1618535915.8473468,,"54425644, 0.00, -0.02, 24.70, 25.03
"
1618535915.8473468,,"54428608, -0.03, 0.00, 24.68, 24.98
"
1618535915.8473468,,"54431592, 0.02, -0.03, 24.68, 24.98
"
1618535915.8573518,,"54434600, -0.02, -0.05, 24.68, 24.98
"
1618535915.8573518,,"54437620, 0.00, -0.02, 24.70, 25.00
"
1618535915.8573518,,"54440580, -0.03, -0.02, 24.70, 25.00
"
1618535915.8673577,,"54443580, -0.03, 0.00, 24.70, 25.00
"
1618535915.8673577,,"54446548, -0.05, -0.05, 24.69, 25.02
"
1618535915.8673577,,"54449564, -0.03, 0.00, 24.69, 25.02
"
1618535915.8673577,,"54452548, 0.00, -0.02, 24.69, 25.02
"
1618535915.8773525,,"54455520, -0.03, -0.05, 24.68, 25.00
"
1618535915.8773525,,"54458540, -0.03, 0.02, 24.68, 25.00
"
1618535915.8848617,,"54461552, 0.00, -0.02, 24.68, 24.98
"
1618535915.8848617,,"54464528, -0.02, -0.02, 24.67, 24.98
"
1618535915.8848617,,"54467540, -0.02, 0.00, 24.67, 24.98
"
1618535915.8848617,,"54470524, -0.02, -0.02, 24.67, 25.02
"
1618535915.8948681,,"54473540, -0.02, -0.02, 24.73, 25.02
"
1618535915.8948681,,"54476560, -0.03, -0.02, 24.73, 25.02
"
1618535915.8948681,,"54479584, -0.02, -0.05, 24.73, 24.96
"
1618535915.9048686,,"54482604, -0.02, 0.00, 24.71, 24.96
"
1618535915.9048686,,"54485592, -0.03, -0.02, 24.71, 25.02
"
1618535915.9048686,,"54488612, 0.00, 0.00, 24.71, 25.02
"
1618535915.9148664,,"54491552, 0.00, -0.02, 24.73, 25.02
"
1618535915.9148664,,"54494528, -0.03, 0.00, 24.73, 25.00
"
1618535915.9148664,,"54497508, -0.02, -0.02, 24.73, 25.00
"
1618535915.9148664,,"54500528, -0.02, -0.03, 24.69, 25.00
"
1618535915.9248667,,"54503544, -0.02, 0.00, 24.69, 24.97
"
1618535915.9248667,,"54506532, -0.03, 0.00, 24.69, 24.97
"
1618535915.9248667,,"54509508, -0.05, -0.03, 24.70, 24.97
"
1618535915.9348676,,"54512532, -0.02, -0.02, 24.70, 24.98
"
1618535915.9348676,,"54515552, 0.00, -0.05, 24.70, 24.98
"
1618535915.9348676,,"54518532, -0.02, -0.02, 24.74, 24.98
"
1618535915.9448683,,"54521552, -0.03, 0.00, 24.74, 24.98
"
1618535915.9448683,,"54524536, -0.02, -0.02, 24.74, 24.98
"
1618535915.9448683,,"54527560, -0.03, 0.00, 24.70, 24.98
"
1618535915.9448683,,"54530544, -0.02, -0.02, 24.70, 24.98
"
1618535915.9548671,,"54533564, -0.02, -0.05, 24.70, 24.98
"
1618535915.9548671,,"54536584, 0.00, 0.00, 24.67, 24.97
"
1618535915.9548671,,"54539528, -0.02, -0.02, 24.67, 24.97
"
1618535915.9648705,,"54542540, 0.00, 0.00, 24.67, 25.02
"
1618535915.9648705,,"54545480, -0.02, -0.02, 24.71, 25.02
"
1618535915.9648705,,"54548500, 0.00, -0.02, 24.71, 25.02
"
1618535915.9748666,,"54551468, 0.00, -0.02, 24.71, 24.98
"
1618535915.9748666,,"54554448, -0.05, -0.03, 24.69, 24.98
"
